index,MJ_2005,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,MJ_biocyc,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
126,MJ0114,unknown,111856,112782, ,@, ,MJ_RS00585,hypothetical protein, ,111874,112785, ,P,0
132,MJ0119,hypothetical protein >> family with MTH1671,116367,115726, ,@, ,MJ_RS00615,hypothetical protein, ,115723,116367,opposite strand,P,0
136,MJ0123,hypothetical protein >> family with MJ1213,119545,119195, ,@, ,MJ_RS00635,DUF45 domain-containing protein, ,119192,119524,"opposite strand, domain of unknown function ",P,0
138,MJ0125,hypothetical protein-[Synechocystis sp.] >> family with MJ0127/MJ1216/MJ0434/MJ1380,123378,123031, ,@, ,MJ_RS00645,DUF86 domain-containing protein, ,123027,123377,"opposite strand, domain of unknown function ",P,0
140,MJ0127,hypothetical protein-[Synechocystis sp.] >> family with MJ0125/MJ1216/MJ0434/MJ1380,124034,123672, ,@, ,MJ_RS00655,DUF86 domain-containing protein, ,123668,124033,"opposite strand, domain of unknown function ",P,0
142,MJ0129,hypothetical protein >> family with MJ0554/MJ0587,124454,124996, ,@, ,MJ_RS00665,hypothetical protein, ,124531,124998,77 nucleotides difference,P,0
145,MJ0131,unknown,126834,126475, ,@, ,MJ_RS00680,hypothetical protein, ,126470,126781,"opposite strand, 53 nucleotides difference",P,0
157,MJ0139.1,unknown >> family to MJ1466/MJ0017,138479,138781, ,@, ,MJ_RS09285,hypothetical protein, ,138479,138781, ,P,0
168,MJ0150,hypothetical protein-[Synechocystis sp.] >> family with MJ0716/MJ1642/MJ0739/MJ0745/MJ1460/C-MJ0855,146069,146587, ,@, ,MJ_RS00780,hypothetical protein, ,146082,146588, ,P,0
178,MJ0157,hypothetical protein >> family with MTH814,159798,160085, ,@, ,MJ_RS00830,DUF2098 domain-containing protein, ,159804,160085,domain of unknown function,P,0
180,MJ0159,conserved hypothetical protein >> family with MTH1569/AF2227,163055,161430, ,@, ,MJ_RS00840,DUF128 domain-containing protein, ,161424,163043,"opposite strand, domain of unknown function ",P,0
185,MJ0164,unknown,168614,167430, ,@, ,MJ_RS00865,DUF2226 domain-containing protein, ,167424,168611,"opposite strand, domain of unknown function ",P,0
202,MJ0181,unknown,182625,181918, ,@, ,MJ_RS00950,hypothetical protein, ,181912,182739,opposite strand,P,0
203,MJ0182,unknown,183311,182730, ,@, ,MJ_RS00955,hypothetical protein, ,182724,183299,opposite strand ,P,0
204,MJ0183,unknown,183491,183348, ,@, ,MJ_RS09445,hypothetical protein, ,183342,183488,opposite strand ,P,0
205,MJ0184,unknown,183558,183827, ,@, ,MJ_RS00960,hypothetical protein, ,183603,183827, ,P,0
225,MJ0202,conserved hypothetical protein >> family with MTH1744/AF1104/PH1575,193579,194454, ,@, ,MJ_RS01055,DUF89 domain-containing protein, ,193576,194454,domain of unknown function,P,0
229,MJ0206,conserved hypothetical protein >> family with AF1068/PH1059/MTH639,198871,198467, ,@, ,MJ_RS01075,DUF371 domain-containing protein, ,198461,198868,"opposite strand, domain of unknown function ",P,0
230,MJ0207,hypothetical protein >> family with MJ1342,198967,199419, ,@, ,MJ_RS01080,hypothetical protein, ,198964,199419, ,P,0
234,MJ0210.1,hypothetical protein >> family with MJ0696/MJ0803/MJ0795.1,202178,202696, ,@, ,MJ_RS01100,hypothetical protein, ,202178,202696, ,P,0
237,MJ0213,conserved hypothetical protein >> family with PH1876/AF2318/MTH689,204137,204583, ,@, ,MJ_RS01115,hypothetical protein, ,204134,204583, ,P,0
248,MJ0224,conserved hypothetical protein >> family with PH0591/AF0407,215072,214566, ,@, ,MJ_RS01170,DUF531 domain-containing protein, ,214560,215069,"opposite strand, domain of unknown function ",P,0
252,MJ0226.1,hypothetical protein >> family with MTH886,216955,217536, ,@, ,MJ_RS01190,hypothetical protein, ,216955,217536, ,P,0
254,MJ0226.2,hypothetical protein >> family with MTH886,217795,218163, ,@, ,MJ_RS01195,hypothetical protein, ,217795,218154, ,P,0
258,MJ0230,unknown,221386,221144, ,@, ,MJ_RS01215,hypothetical protein, ,221138,221383,opposite strand,P,0
261,MJ0233,hypothetical transmembrane protein >> family with MJ1189/MTH1192,224281,225111, ,@, ,MJ_RS01230,DUF4013 domain-containing protein, ,224278,225111,"annotation in 2005 more informational, domain of unknown function",P,0
268,MJ0239,unknown,230506,230988, ,@, ,MJ_RS01265,hypothetical protein, ,230503,230988, ,P,0
277,MJ0248,unknown,235142,235651, ,@, ,MJ_RS01305,hypothetical protein, ,235139,235651, ,P,0
289,MJ0259,unknown,245633,245112, ,@, ,MJ_RS01365,hypothetical protein, ,245106,245714,"opposite strand, 81 nucleotides difference",P,0
300,MJ0270,unknown,256475,256188, ,@, ,MJ_RS01420,hypothetical protein, ,256182,256397,opposite strand ,P,0
301,MJ0271,hypothetical protein,256902,257441, ,@, ,MJ_RS01430,hypothetical protein, ,256899,257441, ,P,0
306,MJ0275,hypothetical protein >> family with MJ1373,261121,260516, ,@, ,MJ_RS01455,hypothetical protein, ,260510,261118,opposite strand,P,0
307,MJ0275.1,unknown,261121,261567, ,@, ,MJ_RS01460,hypothetical protein, ,261121,261567,opposite strand,P,0
318,MJ0286,unknown,270849,270499, ,@, ,MJ_RS01515,hypothetical protein, ,270493,270846,opposite strand,P,0
320,MJ0288,unknown,271755,271222, ,@, ,MJ_RS01525,hypothetical protein, ,271216,271752,opposite strand,P,0
321,MJ0289,unknown,272757,271801, ,@, ,MJ_RS01530,hypothetical protein, ,271795,272802,opposite strand,P,0
330,MJ0297,unknown,281155,280406, ,@, ,MJ_RS01570,hypothetical protein, ,280400,281155, ,P,0
339,MJ0306,unknown,288006,287818, ,@, ,MJ_RS01615,hypothetical protein, ,287812,287994,opposite strand,P,0
341,MJ0308,conserved hypothetical protein >> family with MTH1418/MTH526/MTH1364/AF0908/MTH469,289084,288386, ,@, ,MJ_RS01625,DUF169 domain-containing protein, ,288380,289081,opposite strand,P,0
345,MJ0312,unknown,291791,291228, ,@, ,MJ_RS01645,hypothetical protein, ,291222,291842,"opposite strand, 51 nucleotides difference",P,0
350,MJ0317,unknown,296404,295733, ,@, ,MJ_RS01670,hypothetical protein, ,295727,296401,opposite strand,P,0
352,MJ0319,conserved hypothetical protein >> family with MTH889/PH1931/AF1549,297612,297902, ,@, ,MJ_RS01680,DUF211 domain-containing protein, ,297609,297902,domain of unknown function,P,0
354,MJ0321,unknown,298675,299040, ,@, ,MJ_RS01690,hypothetical protein, ,298672,299040, ,P,0
362,MJ0328,unknown,304755,304318, ,@, ,MJ_RS01725,hypothetical protein, ,304312,304752,opposite strand,P,0
364,MJ0330,unknown,308263,306620, ,@, ,MJ_RS01735,hypothetical protein, ,306614,308260,opposite strand,P,0
366,MJ0332,unknown,309007,308678, ,@, ,MJ_RS01745,hypothetical protein, ,308672,309004,opposite strand,P,0
367,MJ0332.1,unknown,309019,309417, ,@, ,MJ_RS01750,hypothetical protein, ,309019,309417, ,P,0
368,MJ0333,unknown,309697,309410, ,@, ,MJ_RS01755,hypothetical protein, ,309404,309694,opposite strand,P,0
369,MJ0334,unknown,309816,310112, ,@, ,MJ_RS01760,hypothetical protein, ,309813,310112, ,P,0
370,MJ0335,unknown,310179,310919, ,@, ,MJ_RS01765,hypothetical protein, ,310176,310919, ,P,0
371,MJ0336,unknown,310932,311288, ,@, ,MJ_RS01770,hypothetical protein, ,310929,311288, ,P,0
372,MJ0337,unknown,311302,312084, ,@, ,MJ_RS01775,hypothetical protein, ,311299,312084, ,P,0
373,MJ0338,unknown,312100,312402, ,@, ,MJ_RS01780,hypothetical protein, ,312088,312402, ,P,0
374,MJ0339,unknown,312398,312694, ,@, ,MJ_RS01785,hypothetical protein, ,312371,312694, ,P,0
375,MJ0340,unknown,312700,313398, ,@, ,MJ_RS01790,hypothetical protein, ,312694,313398, ,P,0
376,MJ0341,unknown,313411,313770, ,@, ,MJ_RS01795,hypothetical protein, ,313408,313770, ,P,0
377,MJ0342,unknown,313918,314286, ,@, ,MJ_RS01800,hypothetical protein, ,313915,314286, ,P,0
378,MJ0343,unknown,314270,316807, ,@, ,MJ_RS01805,hypothetical protein, ,314258,316807, ,P,0
379,MJ0344,unknown,316820,317359, ,@, ,MJ_RS01810,hypothetical protein, ,316817,317359, ,P,0
380,MJ0345,unknown,317578,318264, ,@, ,MJ_RS01815,hypothetical protein, ,317311,318264,267 nucleotides difference,P,0
381,MJ0346,unknown,318277,318579, ,@, ,MJ_RS01820,hypothetical protein, ,318283,318579, ,P,0
382,MJ0347,hypothetical protein-[Escherichia coli],318593,319045, ,@, ,MJ_RS01825,hypothetical protein, ,318590,319045, ,P,0
383,MJ0347.1,unknown,319063,319614, ,@, ,MJ_RS01830,hypothetical protein, ,319063,319614, ,P,0
384,MJ0348,unknown,319611,321995, ,@, ,MJ_RS01835,hypothetical protein, ,319920,321995,309 nucleotides difference,P,0
385,MJ0349,hypothetical protein >> family with MJ0023/MJ1072/MJ1074/MJ1107/MJECL16,322367,322053, ,@, ,MJ_RS01840,hypothetical protein, ,322047,322364,opposite strand,P,0
386,MJ0350,unknown,322681,322418, ,@, ,MJ_RS01845,hypothetical protein, ,322412,322678,opposite strand,P,0
387,MJ0351,unknown,323112,322705, ,@, ,MJ_RS01850,hypothetical protein, ,322699,323109,opposite strand,P,0
388,MJ0352,unknown,323901,323185, ,@, ,MJ_RS01855,hypothetical protein, ,323179,323898,opposite strand,P,0
389,MJ0353,unknown,324142,323891, ,@, ,MJ_RS01860,hypothetical protein, ,323885,324139,opposite strand,P,0
390,MJ0354,unknown,324296,324123, ,@, ,MJ_RS09570,hypothetical protein, ,324117,324293,opposite strand,P,0
391,MJ0355,unknown,324700,324374, ,@, ,MJ_RS01865,hypothetical protein, ,324368,324697,opposite strand,P,0
392,MJ0356,unknown,324987,324697, ,@, ,MJ_RS01870,hypothetical protein, ,324691,324984,opposite strand,P,0
395,MJ0358,unknown,326796,326413, ,@, ,MJ_RS01885,hypothetical protein, ,326407,326793,opposite strand,P,0
396,MJ0359,unknown,327431,326808, ,@, ,MJ_RS01890,hypothetical protein, ,326802,327446,opposite strand,P,0
402,MJ0364,unknown,332163,332495, ,@, ,MJ_RS01920,hypothetical protein, ,332160,332495, ,P,0
404,MJ0366,hypothetical protein-[Methanococcus maripaludis],333051,333308, ,@, ,MJ_RS01930,DUF2540 domain-containing protein, ,333030,333308,domain of unknown function,P,0
406,MJ0368,unknown,334581,334886, ,@, ,MJ_RS01940,hypothetical protein, ,334566,334886, ,P,0
418,MJ0380,hypothetical protein-[Pyrococcus furiosus],345645,345974, ,@, ,MJ_RS02000,hypothetical protein, ,345618,345974, ,P,0
426,MJ0388,hypothetical protein >> family with PH0042,353737,353117, ,@, ,MJ_RS02040,DUF2067 family protein, ,353111,353734,"opposite strand, domain of unknown function ",P,0
428,MJ0390,unknown,355149,354760, ,@, ,MJ_RS02050,hypothetical protein, ,354754,355146,opposite strand,P,0
443,MJ0402,unknown,363046,362729, ,@, ,MJ_RS02125,hypothetical protein, ,362723,363043,opposite strand,P,0
447,MJ0405,hypothetical protein >> family with MTH1867,365394,365002, ,@, ,MJ_RS02145,DUF2111 domain-containing protein, ,364996,365382,"opposite strand, domain of unknown function ",P,0
451,MJ0409,unknown,367946,370054, ,@, ,MJ_RS02165,hypothetical protein, ,367943,370054, ,P,0
457,MJ0415,unknown,374769,375197, ,@, ,MJ_RS02195,hypothetical protein, ,374709,375197,60 nucleotides difference ,P,0
460,MJ0418,hypothetical protein >> family with PH0087,376618,377388, ,@, ,MJ_RS02210,hypothetical protein, ,376624,377388, ,P,0
462,MJ0420,hypothetical protein >> family with MTH1461/MTH655/MJ0419/PH0089,378856,379533, ,@, ,MJ_RS02220,hypothetical protein, ,378391,379533,465 nucleotides difference,P,0
467,MJ0425,hypothetical protein /similar to C-terminus of MJECL04 (aa 300-end) >> family with PH0976/PH0841/PH0977/MJECL04/MTH196/PH0830/PH0846/PH0436/PH1263/PH0844,382293,382712, ,@, ,MJ_RS09615,DUF234 domain-containing protein, ,382314,382712,domain of unknown function,P,0
468,MJ0426,unknown,383243,382704, ,@, ,MJ_RS02250,hypothetical protein, ,382698,383240,opposite strand,P,0
469,MJ0427,unknown,383719,383243, ,@, ,MJ_RS02255,hypothetical protein, ,383237,383707,opposite strand,P,0
476,MJ0433,hypothetical protein,388681,388139, ,@, ,MJ_RS02285,hypothetical protein, ,388133,388660,opposite strand,P,0
481,MJ0437,hypothetical protein >> family with MTH1248/PHs039/PH0943,391903,391667, ,@, ,MJ_RS02305,DUF4040 domain-containing protein, ,391661,391900,"opposite strand, domain of unknown function ",P,0
484,MJ0440,hypothetical protein >> family with PH1898/AF0462/MTH1480/PH0129,394492,395292, ,@, ,MJ_RS02320,DUF63 family protein, ,394489,395292,domain of unknown function,P,0
491,MJ0447,unknown,401037,400555, ,@, ,MJ_RS02355,hypothetical protein, ,400549,401034,opposite strand,P,0
497,MJ0452,hypothetical protein >> family with MTH777,404959,404519, ,@, ,MJ_RS02385,DUF1890 family protein, ,404513,404959,"opposite strand, domain of unknown function ",P,0
498,MJ0453,hypothetical protein >> family with MTH776,405287,404967, ,@, ,MJ_RS02390,DUF1894 domain-containing protein, ,404961,405284,"opposite strand, domain of unknown function ",P,0
527,MJ0480,hypothetical protein >> family with MTH28/PH1752/AF1901,422470,423063, ,@, ,MJ_RS02540,DUF106 domain-containing protein, ,422467,423063,domain of unknown function,P,0
535,MJ0488,hypothetical protein >> family with MTH1144,432383,432856, ,@, ,MJ_RS02580,DUF3236 family protein, ,432389,432856,domain of unknown function,P,0
536,MJ0489,hypothetical protein >> family with MTH1145,432874,433677, ,@, ,MJ_RS02585,DUF1188 family protein, ,432886,433677,domain of unknown function,P,0
538,MJ0491,hypothetical protein >> family with MTH1197,434647,435108, ,@, ,MJ_RS02595,DUF2120 family protein, ,434680,435108,domain of unknown function,P,0
539,MJ0492,unknown,435387,435103, ,@, ,MJ_RS02600,hypothetical protein, ,435097,435384,opposite strand,P,0
543,MJ0496,unknown,438406,438825, ,@, ,MJ_RS02620,hypothetical protein, ,438400,438825, ,P,0
547,MJ0500,hypothetical protein >> family with PH1506/MTH925,442306,441539, ,@, ,MJ_RS02640,hypothetical protein, ,441533,442303,opposite strand,P,0
548,MJ0501,hypothetical protein >> family with MTH1635,443001,442396, ,@, ,MJ_RS02645,DUF2119 family protein, ,442390,442998,"opposite strand, domain of unknown function ",P,0
551,MJ0504,hypothetical protein >> family with AF0103/MTH1675,445787,446374, ,@, ,MJ_RS02660,hypothetical protein, ,445784,446374, ,P,0
552,MJ0505,hypothetical protein >> family with PH1993,446370,447119, ,@, ,MJ_RS02665,DUF2334 domain-containing protein, ,446367,447119, ,P,0
561,MJ0513,unknown,454870,454151, ,@, ,MJ_RS02710,hypothetical protein, ,454145,454861,opposite strand,P,0
567,MJ0517,hypothetical protein >> family with MTH396,459742,459323, ,@, ,MJ_RS02740,DUF1959 family protein, ,459317,459730,"opposite strand, domain of unknown function ",P,0
568,MJ0518,hypothetical protein >> family with MTH395,460020,459739, ,@, ,MJ_RS02745,DUF2104 family protein, ,459733,460017,"opposite strand, domain of unknown function ",P,0
569,MJ0519,unknown,460292,460035, ,@, ,MJ_RS02750,hypothetical protein, ,460029,460274,opposite strand,P,0
571,MJ0521,unknown,461757,461551, ,@, ,MJ_RS02760,hypothetical protein, ,461545,461745,opposite strand,P,0
573,MJ0523,hypothetical protein >> family with MTH390,463237,462536, ,@, ,MJ_RS02770,DUF2105 family protein, ,462530,463225,"opposite strand, domain of unknown function ",P,0
574,MJ0524,hypothetical Proline-rich protein >> family with MTH389,463699,463241, ,@, ,MJ_RS02775,DUF2106 family protein, ,463235,463696,"opposite strand, domain of unknown function ",P,0
576,MJ0526,hypothetical protein >> family with MTH387,464412,464125, ,@, ,MJ_RS02785,DUF2108 domain-containing protein, ,464119,464397,"opposite strand, domain of unknown function ",P,0
577,MJ0526.1,hypothetical protein >> family with MTH386,464406,464654, ,@, ,MJ_RS02790,DUF2109 family protein, ,464406,464651,domain of unknown function,P,0
578,MJ0527,hypothetical protein >> family with MTH385,465148,464657, ,@, ,MJ_RS02795,hypothetical protein, ,464651,465145,opposite strand,P,0
589,MJ0538,hypothetical protein >> family with PH1392,474807,474028, ,@, ,MJ_RS02850,hypothetical protein, ,474022,474804,opposite strand,P,0
591,MJ0540,unknown,476949,476695, ,@, ,MJ_RS02860,DUF2097 domain-containing protein, ,476689,476946,"opposite strand, domain of unknown function ",P,0
596,MJ0545,hypothetical protein,483462,482713, ,@, ,MJ_RS02885,hypothetical protein, ,482707,483462,opposite strand,P,0
597,MJ0546,hypothetical protein >> family with AF0697,483649,483458, ,@, ,MJ_RS09575,hypothetical protein, ,483452,483622,opposite strand,P,0
599,MJ0548,hypothetical protein >> family with MTH752,485469,484591, ,@, ,MJ_RS02895,DUF2121 family protein, ,484585,485466,"opposite strand, domain of unknown function ",P,0
606,MJ0554,hypothetical protein >> family with MJ0587/MJ0129,490367,489912, ,@, ,MJ_RS02925,hypothetical protein, ,489906,490364,opposite strand,P,0
612,MJ0560,unknown,495297,494893, ,@, ,MJ_RS02955,hypothetical protein, ,494887,495303,opposite strand,P,0
614,MJ0562,unknown,496920,496693, ,@, ,MJ_RS02965,hypothetical protein, ,496687,496902,opposite strand,P,0
617,MJ0565,hypothetical protein,502488,502048, ,@, ,MJ_RS02980,hypothetical protein, ,502042,502485,opposite strand,P,0
622,MJ0570,conserved hypothetical protein >> family with PH1257/MTH432/AF1666/AF0720,506782,506114, ,@, ,MJ_RS03005,TIGR00289 family protein, ,506108,506779,opposite strand,P,0
627,MJ0575,hypothetical protein >> family with MJ0838/MTH1356/AF1687/,511123,511809, ,@, ,MJ_RS03030,DUF166 domain-containing protein, ,511120,511809,domain of unknown function,P,0
640,MJ0587,hypothetical protein >> family with MJ0554/MJ0129,520014,519538, ,@, ,MJ_RS03085,hypothetical protein, ,519532,519993,opposite strand,P,0
642,MJ0589,unknown,521465,521770, ,@, ,MJ_RS03095,hypothetical protein, ,521462,521770, ,P,0
653,MJ0596,hypothetical protein >> family with PH0063,528055,528477, ,@, ,MJ_RS03150,DUF2666 domain-containing protein, ,528052,528477,domain of unknown function,P,0
656,MJ0599,unknown,530526,531122, ,@, ,MJ_RS03165,hypothetical protein, ,530523,531122, ,P,0
659,MJ0602,unknown,533754,532972, ,@, ,MJ_RS03180,hypothetical protein, ,532966,533751,opposite strand,P,0
663,MJ0606,hypothetical protein >> family with MTH1908,536196,535924, ,@, ,MJ_RS03200,DUF5379 domain-containing protein, ,535918,536193,"opposite strand, domain of unknown function ",P,0
664,MJ0607,unknown,536437,536201, ,@, ,MJ_RS03205,hypothetical protein, ,536195,536434,opposite strand,P,0
670,MJ0611.1,hypothetical protein,541612,542205, ,@, ,MJ_RS03235,hypothetical protein, ,541612,542205, ,P,0
673,MJ0614,hypothetical protein >> family with MTH952,545416,545063, ,@, ,MJ_RS03250,DUF22 domain-containing protein, ,545057,545437,opposite strand,P,0
687,MJ0627,unknown,555371,555721, ,@, ,MJ_RS03320,hypothetical protein, ,555368,555721, ,P,0
688,MJ0628,hypothetical protein >> family with MJ0992,555708,556205, ,@, ,MJ_RS03325,hypothetical protein, ,555705,556205, ,P,0
689,MJ0629,hypothetical protein >> family with AF2149/PH1389/MTH1689,556294,556851, ,@, ,MJ_RS03330,TIGR00153 family protein, ,556222,556851,72 nucleotides difference,P,0
699,MJ0639,unknown,568872,568588, ,@, ,MJ_RS03380,hypothetical protein, ,568582,568869,opposite strand,P,0
705,MJ0645,hypothetical protein >> family with AF1294/AF0630/MTH561,574173,574745, ,@, ,MJ_RS03410,TIGR00267 family protein, ,574170,574745, ,P,0
706,MJ0646,hypothetical protein >> family with MTH812/MTH811,574759,757250, ,@, ,MJ_RS03415,DUF2115 domain-containing protein, ,574756,575250,domain of unknown function,P,0
710,MJ0650,unknown,577523,579523, ,@, ,MJ_RS03430,hypothetical protein, ,577457,579523,66 nucleotides difference,P,0
726,MJ0665,hypothetical protein >> family with MTH781/PH1619,591204,590182, ,@, ,MJ_RS03505,DUF354 domain-containing protein, ,590176,591192,"opposite strand, domain of unknown function ",P,0
729,MJ0668,hypothetical protein >> family with MJ1390 and N-terminus of MJ0855,594675,594316, ,@, ,MJ_RS03520,hypothetical protein, ,594310,594531,"opposite strand, 144 nucleotides difference",P,0
739,MJ0678,hypothetical protein-[Chlorobium tepidum] >> family with AF0785/MJ1221,605224,604265, ,@, ,MJ_RS03570,TIGR00341 family protein, ,604259,605221,opposite strand,P,0
747,MJ0686,hypothetical protein-[S.coelicolor],615409,613670, ,@, ,MJ_RS03610,DUF262 domain-containing protein, ,613664,615406,"opposite strand, domain of unknown function ",P,0
749,MJ0688,hypothetical protein >> family with PH0209/RAG13978/MTH1000,616702,617112, ,@, ,MJ_RS03620,UPF0146 family protein, ,616699,617112,uncharacterised protein family,P,0
757,MJ0695,hypothetical protein >> family with MJ0803/MJ0696,621811,621488, ,@, ,MJ_RS03660,hypothetical protein, ,621482,621808,opposite strand,P,0
759,MJ0696,hypothetical protein >> family with MJ0803/MJ0695,622354,621935, ,@, ,MJ_RS03665,DUF986 family protein, ,621929,622477,"opposite strand, 123 nucleotides difference, domain on unknown function",P,0
767,MJ0703.1,unknown,630664,630972, ,@, ,MJ_RS03705,hypothetical protein, ,630676,630972, ,P,0
768,MJ0704,unknown,631464,632201, ,@, ,MJ_RS03710,hypothetical protein, ,631068,632201,"396 nucleotides difference, !?spelling error?!",P,0
772,MJ0708,hypothetical protein-[Saccharomyces cerevisiae] >> family with MTH554,634942,634427, ,@, ,MJ_RS03730,DUF367 family protein, ,634421,634930,"opposite strand, domain of unknown function ",P,0
786,MJ0711,unknown,643997,644962, ,@, ,MJ_RS03800,hypothetical protein, ,643994,644962, ,P,0
791,MJ0716,hypothetical protein >> family with MJ1642/MJ0739/MJ0745/MJ1460/C-MJ0855/MJ0150,650015,650272, ,@, ,MJ_RS03825,hypothetical protein, ,650012,650458,186 nucleotides difference,PSEUDO,0
813,MJ0738,hypothetical protein >> family with MTH865,668145,667879, ,@, ,MJ_RS03935,hypothetical protein, ,667873,668142,opposite strand,P,0
814,MJ0739,hypothetical protein >> family with MJ0745/MJ1460/MJ1642/C-MJ0855//AQ1655/MJ0150/MTH842/MJ0716,668629,668177, ,@, ,MJ_RS03940,DUF2507 domain-containing protein, ,668171,668626,opposite strand,P,0
820,MJ0745,hypothetical protein >> family with MJ0739/MJ1460/MJ1642/C-MJ0855/MJ0150/MTH1349/MJ0716/MTH842,672210,671677, ,@, ,MJ_RS03970,hypothetical protein, ,671671,672207,opposite strand,P,0
821,MJ0746,"hypothetical protein, similar to rubrerythrin >> family with MTH1351/MTH822",672850,672428, ,@, ,MJ_RS03975,hypothetical protein, ,672422,672847,opposite strand,P,0
827,MJ0752,unknown,677941,677717, ,@, ,MJ_RS04005,hypothetical protein, ,677711,677938,opposite strand,P,0
828,MJ0753,hypothetical protein >> family with MTH1437,678768,678148, ,@, ,MJ_RS04010,hypothetical protein, ,678142,678774,opposite strand,P,0
829,MJ0754,hypothetical protein-[Pyrococcus furiosus],679331,678777, ,@, ,MJ_RS04015,DUF2202 domain-containing protein, ,678771,679328,"opposite strand, domain of unknown function ",P,0
832,MJ0756,unknown,681298,680891, ,@, ,MJ_RS04035,hypothetical protein, ,680885,681295,opposite strand,P,0
834,MJ0758,unknown,682655,682215, ,@, ,MJ_RS04045,hypothetical protein, ,682209,682652,opposite strand,P,0
835,MJ0759,hypothetical protein >> family with MTH1416,683056,682702, ,@, ,MJ_RS04050,DUF5400 domain-containing protein, ,682696,683028,opposite strand,P,0
839,MJ0763,unknown,686253,685891, ,@, ,MJ_RS04070,hypothetical protein, ,685885,686250,opposite strand,P,0
848,MJ0772,unknown,692431,693489, ,@, ,MJ_RS04115,hypothetical protein, ,692428,693489, ,P,0
849,MJ0773,unknown,694566,694018, ,@, ,MJ_RS04120,hypothetical protein, ,694012,694539,opposite strand,P,0
854,MJ0778,hypothetical protein >> family with MTH1668/AF1224/AF0032/PH1934,699099,699605, ,@, ,MJ_RS04145,TIGR00295 family protein, ,699096,699605, ,P,0
864,MJ0785.1,hypothetical protein >> family with MJ1249.1/MJ0795.1/MJ0210.1,709430,709999, ,@, ,MJ_RS04190,hypothetical protein, ,709430,709999, ,P,0
865,MJ0786,unknown,710080,710622, ,@, ,MJ_RS04195,hypothetical protein, ,710077,710622, ,P,0
